Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,4123.094238,4759.399902,4799.950195,4522.100098,4522.100098,4072
2010-01-05 00:00:00+00:00,4076.445068,4705.549805,4840,4675,4824,6284
2010-01-06 00:00:00+00:00,4010.474121,4629.399902,4725,4621.25,4725,1319
2010-01-07 00:00:00+00:00,4075.491455,4704.450195,4750,4604.049805,4670,1954
2010-01-08 00:00:00+00:00,4390.00293,5067.5,5170,4715,4737.549805,50809
2010-01-11 00:00:00+00:00,4373.716309,5048.700195,5130,5030.149902,5115,7465
2010-01-12 00:00:00+00:00,4297.567871,4960.799805,5090,4925.049805,5049,3668
2010-01-13 00:00:00+00:00,4260.664551,4918.200195,4970,4858.350098,4970,5532
2010-01-14 00:00:00+00:00,4238.441895,4892.549805,4998,4876,4998,4176
2010-01-15 00:00:00+00:00,4290.768066,4952.950195,5150,4900,4900,9654
2010-01-18 00:00:00+00:00,4263.002441,4920.899902,4978.899902,4902.100098,4952.950195,10697
2010-01-19 00:00:00+00:00,4260.100586,4917.549805,5038,4893.149902,4893.149902,5006
2010-01-20 00:00:00+00:00,4260.837891,4918.399902,4929,4865.100098,4865.100098,78145
2010-01-21 00:00:00+00:00,4185.901855,4831.899902,4929.950195,4816.049805,4869,1086
2010-01-22 00:00:00+00:00,4168.186035,4811.450195,4849,4695,4731.899902,12662
2010-01-25 00:00:00+00:00,4158.353027,4800.100098,4888,4781.049805,4888,1879
2010-01-27 00:00:00+00:00,4070.119629,4698.25,4859,4677,4706.049805,2151
2010-01-28 00:00:00+00:00,3990.723145,4606.600098,4800,4551,4705.049805,3538
2010-01-29 00:00:00+00:00,4023.772217,4644.75,4669,4556,4604,1567
2010-02-01 00:00:00+00:00,4099.53125,4732.200195,4790,4630.049805,4650,2441
2010-02-02 00:00:00+00:00,4142.239258,4781.5,4890,4762.100098,4800,2342
2010-02-03 00:00:00+00:00,4131.886719,4769.549805,4824.950195,4740.049805,4750,2331
2010-02-04 00:00:00+00:00,4068.560303,4696.450195,4800,4680,4692.049805,853
2010-02-05 00:00:00+00:00,4018.315186,4638.450195,4669,4604.049805,4604.049805,3269
2010-02-08 00:00:00+00:00,4102.216797,4735.299805,4780,4655,4655,1149
2010-02-09 00:00:00+00:00,4163.854004,4806.450195,4839,4736,4748.799805,2218
2010-02-10 00:00:00+00:00,4098.361328,4730.850098,4874.850098,4710.100098,4850,2757
2010-02-11 00:00:00+00:00,4116.640137,4751.950195,4824,4704.049805,4762,2948
2010-02-15 00:00:00+00:00,4084.067139,4714.350098,4798.899902,4710.100098,4798.899902,577
2010-02-16 00:00:00+00:00,4091.085205,4722.450195,4796.5,4710,4796.5,835
2010-02-17 00:00:00+00:00,4089.482178,4720.600098,4789.950195,4711.149902,4760,1192
2010-02-18 00:00:00+00:00,4078.696045,4708.149902,4764,4700.049805,4710,1163
2010-02-19 00:00:00+00:00,4050.93042,4676.100098,4705,4670,4700,884
2010-02-22 00:00:00+00:00,4010.906982,4629.899902,4730,4613,4705,1989
2010-02-23 00:00:00+00:00,4029.187012,4651,4698.950195,4604,4629.899902,787
2010-02-24 00:00:00+00:00,3989.812744,4605.549805,4645,4600.25,4611,1469
2010-02-25 00:00:00+00:00,3988.167725,4603.649902,4622,4575.100098,4620,2231
2010-02-26 00:00:00+00:00,3989.250244,4604.899902,4628.850098,4590,4590,1398
2010-03-02 00:00:00+00:00,4081.163818,4711,4720,4604,4605.049805,2707
2010-03-03 00:00:00+00:00,4173.815918,4817.950195,4849,4705.100098,4749.700195,14338
2010-03-04 00:00:00+00:00,4199.15625,4847.200195,4880,4770,4830,3359
2010-03-05 00:00:00+00:00,4157.27002,4798.850098,4945,4712,4900,14935
2010-03-08 00:00:00+00:00,4155.926758,4797.299805,4840,4780,4840,2274
2010-03-09 00:00:00+00:00,4145.098145,4784.799805,4848.950195,4752.850098,4795,4119
2010-03-10 00:00:00+00:00,4128.378906,4765.5,4790,4730,4770,2119
2010-03-11 00:00:00+00:00,4100.137695,4732.899902,4770,4725.149902,4725.149902,1218
2010-03-12 00:00:00+00:00,4042.311768,4666.149902,4702.049805,4613.100098,4702.049805,3869
2010-03-15 00:00:00+00:00,4078.826172,4708.299805,4795,4690,4751,20832
2010-03-16 00:00:00+00:00,4063.622803,4690.75,4747,4660.25,4747,1249
2010-03-17 00:00:00+00:00,4066.568115,4694.149902,4738,4660,4738,2038
2010-03-18 00:00:00+00:00,4148.174805,4788.350098,4810,4655,4660,23911
2010-03-19 00:00:00+00:00,4198.419922,4846.350098,4920,4800.049805,4849,6975
2010-03-22 00:00:00+00:00,4160.561523,4802.649902,4844,4800,4800,3249
2010-03-23 00:00:00+00:00,4186.811035,4832.950195,4854,4800,4844,21560
2010-03-25 00:00:00+00:00,4192.527832,4839.549805,4870,4830,4832.049805,6942
2010-03-26 00:00:00+00:00,4188.586426,4835,4880,4835,4858,1022
2010-03-29 00:00:00+00:00,4204.830566,4853.75,4960,4825,4835.049805,52566
2010-03-30 00:00:00+00:00,4160.648438,4802.75,4899.649902,4790,4899.649902,773
2010-03-31 00:00:00+00:00,4141.027344,4780.100098,4850,4764.100098,4804.200195,1067
2010-04-01 00:00:00+00:00,4153.025391,4793.950195,4848,4790,4848,623
2010-04-05 00:00:00+00:00,4147.912598,4788.049805,4819.75,4724.700195,4724.700195,659
2010-04-06 00:00:00+00:00,4200.759277,4849.049805,4869.899902,4765,4765,26116
2010-04-07 00:00:00+00:00,4203.617676,4852.350098,4928,4801,4920,23464
2010-04-08 00:00:00+00:00,4202.70752,4851.299805,4880,4839,4880,7232
2010-04-09 00:00:00+00:00,4206.866211,4856.100098,4919.700195,4805,4860,3030
2010-04-12 00:00:00+00:00,4192.225586,4839.200195,4850,4820.049805,4850,426
2010-04-13 00:00:00+00:00,4182.436523,4827.899902,4850,4809,4840,10466
2010-04-15 00:00:00+00:00,4244.463379,4899.5,4919.950195,4830,4830,15828
2010-04-16 00:00:00+00:00,4205.26416,4854.25,5141,4654.549805,4654.549805,43260
2010-04-19 00:00:00+00:00,4204.916992,4853.850098,4877,4735.5,4843.549805,4316
2010-04-20 00:00:00+00:00,4233.505859,4886.850098,4917.950195,4855,4879.950195,2557
2010-04-21 00:00:00+00:00,4281.671387,4942.450195,4960,4893.049805,4925,3418
2010-04-22 00:00:00+00:00,4249.96582,4905.850098,4997.950195,4875,4979.799805,2865
2010-04-23 00:00:00+00:00,4252.867188,4909.200195,4949,4900,4949,2050
2010-04-26 00:00:00+00:00,4215.918457,4866.549805,4980,4840.049805,4979.799805,13505
2010-04-27 00:00:00+00:00,4251.610352,4907.75,4970,4850,4870,7863
2010-04-28 00:00:00+00:00,4263.175293,4921.100098,4937,4861.100098,4899.899902,1891
2010-04-29 00:00:00+00:00,4243.424316,4898.299805,4950,4871,4940,714
2010-04-30 00:00:00+00:00,4216.654785,4867.399902,4939.899902,4845,4939.899902,1447
2010-05-03 00:00:00+00:00,4209.768066,4859.450195,4883.950195,4831,4850,674
2010-05-04 00:00:00+00:00,4196.253906,4843.850098,4889,4821.049805,4889,644
2010-05-05 00:00:00+00:00,4234.760742,4888.299805,4899,4700,4843.850098,7837
2010-05-06 00:00:00+00:00,4326.675781,4994.399902,5015,4731,4795,7035
2010-05-07 00:00:00+00:00,4321.087891,4987.950195,5015,4905,4905,3333
2010-05-10 00:00:00+00:00,4393.294434,5071.299805,5100,4955,5000,2941
2010-05-11 00:00:00+00:00,4347.29541,5018.200195,5100,4984.049805,4984.049805,3046
2010-05-12 00:00:00+00:00,4327.282227,4995.100098,5030,4956.5,5030,4781
2010-05-13 00:00:00+00:00,4346.020508,4986.600098,5100,4952.149902,5070,1247
2010-05-14 00:00:00+00:00,4321.312988,4958.25,5078,4930.600098,5077,804
2010-05-17 00:00:00+00:00,4358.004395,5000.350098,5040,4700,4878,1756
2010-05-18 00:00:00+00:00,4453.220215,5109.600098,5120.049805,5000,5000.350098,4135
2010-05-19 00:00:00+00:00,4425.94043,5078.299805,5100,5022.049805,5100,5977
2010-05-20 00:00:00+00:00,4402.670898,5051.600098,5069.850098,5020,5055,1439
2010-05-21 00:00:00+00:00,4281.178223,4912.200195,5000,4900,5000,1218
2010-05-24 00:00:00+00:00,4270.632324,4900.100098,5080,4892,5080,3631
2010-05-25 00:00:00+00:00,4278.432129,4909.049805,4930,4880,4900.100098,1017
