Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,5966.008301,6142.950195,6215,6032,6081,18735
2010-01-05 00:00:00+00:00,5983.149902,6160.600098,6269,6150,6200,17947
2010-01-06 00:00:00+00:00,5914.971191,6090.399902,6198,6055,6180,10735
2010-01-07 00:00:00+00:00,6037.150879,6216.200195,6371,6151,6249.899902,42206
2010-01-08 00:00:00+00:00,5989.221191,6166.850098,6294.399902,6150,6243.299805,11155
2010-01-11 00:00:00+00:00,5981.208984,6158.600098,6252,6150,6199,9387
2010-01-12 00:00:00+00:00,5909.097168,6084.350098,6194.399902,6060,6194.399902,7286
2010-01-13 00:00:00+00:00,5931.189453,6107.100098,6145,6048,6085,7550
2010-01-14 00:00:00+00:00,6255.27832,6440.799805,6485,6131.149902,6167.799805,59564
2010-01-15 00:00:00+00:00,6221.580566,6406.100098,6549.5,6380,6498.700195,28721
2010-01-18 00:00:00+00:00,6186.955566,6370.450195,6498.950195,6325,6449.399902,14071
2010-01-19 00:00:00+00:00,6112.852539,6294.149902,6460,6275,6382,10455
2010-01-20 00:00:00+00:00,6006.84668,6185,6352.850098,6150,6351,7790
2010-01-21 00:00:00+00:00,5926.481934,6102.25,6240,6090,6185,6884
2010-01-22 00:00:00+00:00,5875.880859,6050.149902,6149,6010,6110,10727
2010-01-25 00:00:00+00:00,5868.306641,6042.350098,6120,6021,6089.75,4312
2010-01-27 00:00:00+00:00,5499.107422,5662.200195,6117.799805,5555,6059.899902,16183
2010-01-28 00:00:00+00:00,5596.760742,5762.75,5919,5685.049805,5757,20888
2010-01-29 00:00:00+00:00,5635.802246,5802.950195,5839,5700.899902,5705,12640
2010-02-01 00:00:00+00:00,5882.774902,6057.25,6124,5770,5794.399902,15389
2010-02-02 00:00:00+00:00,5793.330566,5965.149902,6225,5930,6130,14177
2010-02-03 00:00:00+00:00,5791.145508,5962.899902,6082,5933.100098,6039.399902,9081
2010-02-04 00:00:00+00:00,5645.853027,5813.299805,6068,5789,5999,6897
2010-02-05 00:00:00+00:00,5555.484863,5720.25,5780,5650.5,5700,7849
