Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,278.472229,311.1490479,316.1971741,298.8499451,307.3858948,904
2010-01-05 00:00:00+00:00,264.5896912,295.6374817,307.4776611,295.5915833,307.4776611,833
2010-01-06 00:00:00+00:00,258.7573547,289.1207886,301.6034851,282.6958923,300.1349182,816
2010-01-07 00:00:00+00:00,256.2930298,286.3672791,297.3813782,284.5315857,284.5315857,180
2010-01-08 00:00:00+00:00,248.8999481,278.1066589,293.6641235,276.2709961,276.2709961,1126
2010-01-11 00:00:00+00:00,257.2376404,287.4227905,291.5989685,276.3627625,276.3627625,319
2010-01-12 00:00:00+00:00,249.7214355,279.0245056,287.2850952,278.382019,280.860199,382
2010-01-13 00:00:00+00:00,242.6158295,271.0851746,283.613739,267.0925598,278.1066589,400
2010-01-14 00:00:00+00:00,248.8999481,278.1066589,284.6692505,277.2806091,284.6692505,811
2010-01-15 00:00:00+00:00,246.4766083,275.3990173,278.1066589,275.3531494,277.1888428,354
2010-01-18 00:00:00+00:00,254.6501465,284.5315857,284.5315857,275.3531494,277.1888428,238
2010-01-19 00:00:00+00:00,246.394516,275.307251,276.2709961,274.4353027,275.3531494,3579
2010-01-20 00:00:00+00:00,240.5211029,268.7446594,279.8505859,266.2664795,274.4353027,261
2010-01-21 00:00:00+00:00,238.2210693,266.1747131,270.763916,258.3730164,270.763916,380
2010-01-22 00:00:00+00:00,245.5731049,274.3894043,278.1066589,256.9962769,257.914093,94
2010-01-25 00:00:00+00:00,234.9352722,262.5033264,274.6647644,262.5033264,274.6647644,1377
2010-01-27 00:00:00+00:00,235.5513763,263.1917114,275.3531494,262.5033264,268.010376,1520
2010-01-28 00:00:00+00:00,227.5011139,254.1968384,268.010376,252.4529419,262.5033264,1839
2010-01-29 00:00:00+00:00,230.0065765,256.9962769,256.9962769,241.5764923,252.4070435,697
2010-02-01 00:00:00+00:00,234.1138306,261.5854797,269.8460693,245.0643005,245.0643005,1303
2010-02-02 00:00:00+00:00,245.8194885,274.6647644,274.6647644,261.769043,274.618866,8036
2010-02-03 00:00:00+00:00,256.6627197,286.780304,288.4324036,278.1984558,287.2392273,2374
2010-02-04 00:00:00+00:00,252.8429565,282.5123291,294.6278687,272.829071,290.0386353,4857
2010-02-05 00:00:00+00:00,245.4909058,274.2976074,288.6618652,269.387146,288.6618652,1815
2010-02-08 00:00:00+00:00,234.1548462,261.6313782,275.2613525,260.346405,275.0777893,5261
2010-02-09 00:00:00+00:00,229.3834076,256.2999878,270,255,270,1572
2010-02-10 00:00:00+00:00,221.9550781,248,269.1000061,245.1999969,269.1000061,1522
2010-02-11 00:00:00+00:00,219.6280975,245.3999939,249.3999939,236.25,245.75,1135
2010-02-15 00:00:00+00:00,215.1979828,240.4499969,244.9499969,239.5,244.9499969,2706
2010-02-16 00:00:00+00:00,210.320343,235,244.9499969,228.5,230,315
2010-02-17 00:00:00+00:00,217.8829193,243.4499969,244,228,230,761
2010-02-18 00:00:00+00:00,210.6335602,235.3500061,243,235.3500061,243,182
2010-02-19 00:00:00+00:00,201.3705444,225,239.9499969,223.6000061,230,1651
2010-02-22 00:00:00+00:00,200.7440491,224.3000031,232,218,231.8999939,1534
2010-02-23 00:00:00+00:00,202.2655182,226,226,226,226,100
2010-02-24 00:00:00+00:00,201.5047913,225.1499939,230,225,230,225
2010-02-25 00:00:00+00:00,201.3705444,225,230,225,225,291
2010-02-26 00:00:00+00:00,204.055481,228,228,221.25,225,364
2010-03-02 00:00:00+00:00,194.7477112,217.6000061,235,216.6499939,229.9499969,3212
2010-03-03 00:00:00+00:00,195.6873932,218.6499939,227,216.6499939,227,1674
2010-03-04 00:00:00+00:00,194.4344482,217.25,220,215,219,2270
2010-03-05 00:00:00+00:00,191.9285126,214.4499969,223.1000061,213.25,215,14714
2010-03-08 00:00:00+00:00,196.0901794,219.1000061,220,216.5,218,7305
2010-03-09 00:00:00+00:00,193.9421997,216.6999969,224.9499969,215.1000061,217,27046
2010-03-10 00:00:00+00:00,200.3860779,223.8999939,226,219.1999969,220.1999969,39108
2010-03-11 00:00:00+00:00,210.365097,235.0500031,237.5,219.1000061,225,12803
2010-03-12 00:00:00+00:00,215.1979828,240.4499969,244,235,237,14627
2010-03-15 00:00:00+00:00,211.8865662,236.75,240,230.0500031,240,8467
2010-03-16 00:00:00+00:00,207.5458984,231.8999939,240,231.1000061,235.0500031,2459
2010-03-17 00:00:00+00:00,208.0828857,232.5,235,231.3000031,235,19730
2010-03-18 00:00:00+00:00,208.4856262,232.9499969,237,232,232.6000061,1323
2010-03-19 00:00:00+00:00,208.2618866,232.6999969,234.6999969,230.1999969,231.1000061,2317
2010-03-22 00:00:00+00:00,204.3239746,228.3000031,235.6499939,228.1999969,230.0500031,2899
2010-03-23 00:00:00+00:00,204.1897278,228.1499939,233.5500031,225.5,232,1097
2010-03-25 00:00:00+00:00,203.2947388,227.1499939,239.6999969,227,234,1641
2010-03-26 00:00:00+00:00,207.6354065,232,233,226.6999969,226.6999969,4031
2010-03-29 00:00:00+00:00,217.5697174,243.1000061,248.8999939,229.8000031,232.0500031,7877
2010-03-30 00:00:00+00:00,231.307663,258.4500122,265,250,250,8230
2010-03-31 00:00:00+00:00,208.1723785,232.6000061,252,232.6000061,251,36991
2010-04-01 00:00:00+00:00,207.8591614,232.25,235.25,223.3500061,231.8000031,12076
2010-04-05 00:00:00+00:00,206.5614319,230.8000031,237.6000061,228.3000031,236,5175
2010-04-06 00:00:00+00:00,205.5322266,229.6499939,234,228.8500061,232,1354
2010-04-07 00:00:00+00:00,203.9659576,227.8999939,232,225.1000061,230,3230
2010-04-08 00:00:00+00:00,199.356842,222.75,230.8999939,222,230.8999939,2709
2010-04-09 00:00:00+00:00,217.6144257,243.1499939,245.0500031,220,224.5,22755
2010-04-12 00:00:00+00:00,218.6436462,244.3000031,248.3000031,240.0500031,241.1000061,11457
2010-04-13 00:00:00+00:00,212.1550446,237.0500031,243.1499939,235.0500031,243.1000061,5298
2010-04-15 00:00:00+00:00,210.0965881,234.75,243.6499939,228.1000061,238.0500031,1316
2010-04-16 00:00:00+00:00,208.3066406,232.75,243.8000031,231,231,352
2010-04-19 00:00:00+00:00,209.2911224,233.8500061,238,226.6499939,226.6499939,7509
2010-04-20 00:00:00+00:00,218.8674164,244.5500031,245.8999939,237.3000031,239.8999939,9346
2010-04-21 00:00:00+00:00,223.9240723,250.1999969,251.8999939,243,244,14750
2010-04-22 00:00:00+00:00,236.0063019,263.7000122,271.2000122,241.3500061,241.5,26041
2010-04-23 00:00:00+00:00,240.9734344,269.25,276,263,269.8999939,6458
2010-04-26 00:00:00+00:00,250.9076843,280.3500061,284,269.5,269.5,9891
2010-04-27 00:00:00+00:00,249.1624756,278.3999939,289,278.2000122,281.25,3739
2010-04-28 00:00:00+00:00,233.0080872,260.3500061,275,259.9500122,275,9426
2010-04-29 00:00:00+00:00,240.5259399,268.75,273,267.3999939,268,1317
2010-04-30 00:00:00+00:00,241.1524048,269.4500122,279.9500122,264.1000061,279.9500122,2631
2010-05-03 00:00:00+00:00,245.0903168,273.8500061,277,268.9500122,268.9500122,1052
2010-05-04 00:00:00+00:00,247.9990387,277.1000061,283,261.5,274.7999878,5649
2010-05-05 00:00:00+00:00,250.8181915,280.25,283.7999878,263,263,11092
2010-05-06 00:00:00+00:00,254.3980865,284.25,285.9500122,275,275,2158
2010-05-07 00:00:00+00:00,254.4428406,284.2999878,287.8500061,268,268,3639
2010-05-10 00:00:00+00:00,260.5734558,291.1499939,293.8999939,279,279.1000061,7525
2010-05-11 00:00:00+00:00,273.4611511,305.5499878,312.5,287.5,288,18256
2010-05-12 00:00:00+00:00,270.2392578,301.9500122,311.8999939,299.2999878,307.25,4787
2010-05-13 00:00:00+00:00,276.1461182,308.5499878,313.9500122,300,300.0499878,3670
2010-05-14 00:00:00+00:00,278.6968689,311.3999939,323.75,305.6000061,305.6000061,15231
2010-05-17 00:00:00+00:00,270.6419983,302.3999939,307,295,307,7900
2010-05-18 00:00:00+00:00,266.7935791,298.1000061,305,296.1000061,305,2899
2010-05-19 00:00:00+00:00,276.5936279,309.0499878,311,291.2000122,300,11247
2010-05-20 00:00:00+00:00,272.9689636,305,312,299,310,18513
2010-05-21 00:00:00+00:00,267.8227844,299.25,302,296.1000061,302,1934
2010-05-24 00:00:00+00:00,267.9570313,299.3999939,310,297.7000122,309.9500122,2948
2010-05-25 00:00:00+00:00,260.6630249,291.25,297.9500122,290.1000061,296.3999939,4106
2010-05-26 00:00:00+00:00,277.0858154,309.6000061,314,288.5499878,295.2000122,9205
2010-05-27 00:00:00+00:00,266.5698853,297.8500061,314.8999939,297,301.5,3699
2010-05-28 00:00:00+00:00,265.3616028,296.5,307.8999939,295.5,307.8500061,1918
2010-05-31 00:00:00+00:00,272.7899475,304.7999878,308,288,288,5615
2010-06-01 00:00:00+00:00,268.8520813,300.3999939,308.9500122,300.1000061,307.3999939,2954
2010-06-02 00:00:00+00:00,270.4182434,302.1499939,307.8500061,302,305,845
2010-06-03 00:00:00+00:00,271.9844971,303.8999939,307.5,302.5,304,1304
2010-06-04 00:00:00+00:00,290.823822,324.9500122,329,303.5,303.5,47230
2010-06-07 00:00:00+00:00,279.9945679,312.8500061,328,305.1000061,316.25,8494
2010-06-08 00:00:00+00:00,281.2027588,314.2000122,323.9500122,310.1000061,320,688
2010-06-09 00:00:00+00:00,279.45755,312.25,314,307,313.0499878,1904
2010-06-10 00:00:00+00:00,297.7151794,332.6499939,335,308.6000061,308.6000061,12972
2010-06-11 00:00:00+00:00,311.6320496,348.2000122,373.8999939,325.5,333,52832
