Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,548.9807129,816,819,805,813,14071900
2010-01-05 00:00:00+00:00,540.2347412,803,824,801,822,17689700
2010-01-06 00:00:00+00:00,538.8892822,801,807,790,800,16298100
2010-01-07 00:00:00+00:00,531.4886475,790,808,786,806,15702200
2010-01-08 00:00:00+00:00,542.9257813,807,814,799,801,22331400
2010-01-12 00:00:00+00:00,553.6901245,823,824,796,801,22314800
2010-01-13 00:00:00+00:00,538.2166138,800,812,798,808,29523400
2010-01-14 00:00:00+00:00,540.2347412,803,810,800,807,13620900
2010-01-15 00:00:00+00:00,538.8892822,801,808,798,808,18246600
2010-01-18 00:00:00+00:00,524.7610474,780,787,775,786,18669700
2010-01-19 00:00:00+00:00,516.6877441,768,782,762,781,16076800
2010-01-20 00:00:00+00:00,509.2872009,757,781,755,780,19328900
2010-01-21 00:00:00+00:00,514.6694946,765,781,750,780,20939400
2010-01-22 00:00:00+00:00,504.5778503,750,759,744,745,21985700
2010-01-25 00:00:00+00:00,498.5229492,741,749,735,742,18224800
2010-01-26 00:00:00+00:00,489.1040955,727,748,726,743,18478400
2010-01-27 00:00:00+00:00,479.0125732,712,732,710,726,20924700
2010-01-28 00:00:00+00:00,492.4679565,732,750,723,727,28778600
2010-01-29 00:00:00+00:00,495.1590271,736,747,717,726,33211700
2010-02-01 00:00:00+00:00,485.0676575,721,736,713,731,22868700
2010-02-02 00:00:00+00:00,501.8867493,746,748,732,735,19272700
2010-02-03 00:00:00+00:00,507.9416809,755,764,752,761,18771400
2010-02-04 00:00:00+00:00,513.3239136,763,772,752,770,31622900
2010-02-05 00:00:00+00:00,493.1408997,733,742,725,734,24134300
2010-02-08 00:00:00+00:00,480.3580933,714,731,710,731,20256300
2010-02-09 00:00:00+00:00,491.795166,731,733,710,714,21472300
2010-02-10 00:00:00+00:00,499.8684692,743,758,742,746,39181400
2010-02-12 00:00:00+00:00,490.4497681,729,748,723,745,23137800
2010-02-15 00:00:00+00:00,482.3765564,717,731,715,730,15012800
2010-02-16 00:00:00+00:00,485.7402954,722,723,713,720,12275300
2010-02-17 00:00:00+00:00,501.2140503,745,747,732,734,17963700
2010-02-18 00:00:00+00:00,505.2506409,751,757,748,751,16015100
2010-02-19 00:00:00+00:00,494.4863281,735,760,732,750,18788400
2010-02-22 00:00:00+00:00,507.2689514,754,757,745,746,17932300
2010-02-23 00:00:00+00:00,501.2140503,745,754,741,754,12267500
2010-02-24 00:00:00+00:00,484.3948975,720,733,718,726,27455000
2010-02-25 00:00:00+00:00,476.3215332,708,730,704,729,22017500
2010-02-26 00:00:00+00:00,474.3031311,705,710,695,705,25470300
2010-03-01 00:00:00+00:00,474.3031311,705,711,698,705,15122100
2010-03-02 00:00:00+00:00,474.3031311,705,710,696,703,16605000
2010-03-03 00:00:00+00:00,472.2849121,702,708,696,706,19442500
2010-03-04 00:00:00+00:00,466.9028015,694,705,692,702,17594300
2010-03-05 00:00:00+00:00,470.9394836,700,706,697,701,13166300
2010-03-08 00:00:00+00:00,493.1408997,733,733,721,724,44758000
2010-03-09 00:00:00+00:00,496.5047302,738,741,725,732,21869200
2010-03-10 00:00:00+00:00,495.1590271,736,748,734,736,14855200
2010-03-11 00:00:00+00:00,501.8867493,746,748,740,746,9843000
2010-03-12 00:00:00+00:00,513.9966431,764,766,750,755,25069900
2010-03-15 00:00:00+00:00,516.0150146,767,774,750,755,15626100
2010-03-16 00:00:00+00:00,507.9416809,755,769,754,764,11009400
2010-03-17 00:00:00+00:00,520.7244873,774,774,765,772,14809600
2010-03-18 00:00:00+00:00,515.3421021,766,783,765,778,26795800
2010-03-19 00:00:00+00:00,515.3421021,766,772,762,768,19927900
2010-03-23 00:00:00+00:00,516.0150146,767,774,763,766,15116500
2010-03-24 00:00:00+00:00,517.3605957,769,774,765,768,20408400
2010-03-25 00:00:00+00:00,516.6877441,768,777,767,776,29950100
2010-03-26 00:00:00+00:00,522.7427979,777,779,768,775,17889200
2010-03-29 00:00:00+00:00,526.7792969,783,783,775,778,10456200
2010-03-30 00:00:00+00:00,538.8892822,801,801,779,783,20860200
2010-03-31 00:00:00+00:00,538.8892822,801,814,799,804,25772900
2010-04-01 00:00:00+00:00,546.9625244,813,813,803,809,15153400
2010-04-02 00:00:00+00:00,553.017395,822,823,815,818,11690300
