Date,Adj Close,Close,High,Low,Open,Volume
Ticker,7203.T,7203.T,7203.T,7203.T,7203.T,7203.T
2010-01-04 00:00:00+00:00,528.7689819,778,783,778,780,30732500
2010-01-05 00:00:00+00:00,517.2149658,761,784,761,784,52827500
2010-01-06 00:00:00+00:00,529.4487305,779,779,779,779,41519000
2010-01-07 00:00:00+00:00,523.331604,770,782,766,781,31003500
2010-01-08 00:00:00+00:00,538.2841187,792,796,780,781,77448500
2010-01-12 00:00:00+00:00,559.3533936,823,825,790,791,86401500
2010-01-13 00:00:00+00:00,551.1973877,811,822,807,818,70181000
2010-01-14 00:00:00+00:00,562.0720825,827,827,816,816,36877000
2010-01-15 00:00:00+00:00,570.9074707,840,840,825,830,47796500
2010-01-18 00:00:00+00:00,569.5480347,838,839,831,833,33332000
2010-01-19 00:00:00+00:00,562.7516479,828,835,824,834,22424000
2010-01-20 00:00:00+00:00,557.9940796,821,839,819,832,34427500
2010-01-21 00:00:00+00:00,569.5480347,838,847,819,821,49877000
2010-01-22 00:00:00+00:00,551.1973877,811,820,806,815,58858500
2010-01-25 00:00:00+00:00,539.6435547,794,802,792,794,45614500
2010-01-26 00:00:00+00:00,526.050293,774,795,774,785,41195000
2010-01-27 00:00:00+00:00,503.6219177,741,767,740,766,85418000
2010-01-28 00:00:00+00:00,483.9120178,712,736,706,706,193192000
2010-01-29 00:00:00+00:00,474.3968506,698,716,696,700,145685500
2010-02-01 00:00:00+00:00,468.9595947,690,701,683,699,111710500
2010-02-02 00:00:00+00:00,490.0288391,721,730,719,722,119186500
2010-02-03 00:00:00+00:00,462.1630554,680,708,680,707,176901500
2010-02-04 00:00:00+00:00,445.8514709,656,659,639,652,282557500
2010-02-05 00:00:00+00:00,450.6090698,663,670,650,651,229177000
2010-02-08 00:00:00+00:00,445.8514709,656,671,653,667,96745000
2010-02-09 00:00:00+00:00,458.7649231,675,683,652,653,144671500
2010-02-10 00:00:00+00:00,460.803894,678,683,666,678,94863000
2010-02-12 00:00:00+00:00,470.3189697,692,698,680,684,115272000
2010-02-15 00:00:00+00:00,456.0462952,671,692,670,691,77597500
2010-02-16 00:00:00+00:00,459.4446106,676,681,670,670,47754500
2010-02-17 00:00:00+00:00,459.4446106,676,682,672,680,57342000
2010-02-18 00:00:00+00:00,456.7258606,672,684,670,676,66689500
2010-02-19 00:00:00+00:00,448.5702209,660,676,660,671,73828000
2010-02-22 00:00:00+00:00,454.0073242,668,680,664,672,71212500
2010-02-23 00:00:00+00:00,451.9683838,665,667,660,663,44657000
2010-02-24 00:00:00+00:00,445.171814,655,660,651,652,86115500
2010-02-25 00:00:00+00:00,444.4922485,654,670,652,669,89280000
2010-02-26 00:00:00+00:00,452.6481934,666,671,660,660,76381000
2010-03-01 00:00:00+00:00,447.8903809,659,666,657,666,51757000
2010-03-02 00:00:00+00:00,450.6090698,663,664,656,657,38628500
2010-03-03 00:00:00+00:00,464.8817139,684,686,664,666,98986500
2010-03-04 00:00:00+00:00,458.7649231,675,684,672,682,53490000
2010-03-05 00:00:00+00:00,461.48349,679,682,676,678,53956000
2010-03-08 00:00:00+00:00,477.7951355,703,704,692,696,112304500
2010-03-09 00:00:00+00:00,475.0765381,699,706,697,702,48432000
