Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,249.4967804,323,324,319,320,1299000
2010-01-05 00:00:00+00:00,247.1794128,320,328,320,326,1216000
2010-01-06 00:00:00+00:00,247.951889,321,323,316,321,1121000
2010-01-07 00:00:00+00:00,244.0897217,316,322,315,321,1715000
2010-01-08 00:00:00+00:00,257.2210999,333,333,320,322,4083000
2010-01-12 00:00:00+00:00,258.7659912,335,338,325,331,3136000
2010-01-13 00:00:00+00:00,260.3108826,337,343,325,331,2900000
2010-01-14 00:00:00+00:00,269.5801086,349,353,337,338,2756000
2010-01-15 00:00:00+00:00,269.5801086,349,359,343,355,3354000
2010-01-18 00:00:00+00:00,270.3526001,350,351,342,350,2182000
2010-01-19 00:00:00+00:00,266.4903564,345,351,344,350,1025000
2010-01-20 00:00:00+00:00,267.2627869,346,357,345,353,1643000
2010-01-21 00:00:00+00:00,271.8973999,352,355,344,346,2450000
2010-01-22 00:00:00+00:00,266.4903564,345,346,337,343,2709000
2010-01-25 00:00:00+00:00,269.5801086,349,353,334,340,4226000
2010-01-26 00:00:00+00:00,271.8973999,352,365,350,350,4130000
2010-01-27 00:00:00+00:00,268.8076172,348,359,346,353,4000000
2010-01-28 00:00:00+00:00,267.2627869,346,352,339,345,3259000
2010-01-29 00:00:00+00:00,262.6280823,340,347,339,344,2508000
2010-02-01 00:00:00+00:00,259.5384216,336,344,331,344,2450000
2010-02-02 00:00:00+00:00,269.5801086,349,351,341,342,1365000
2010-02-03 00:00:00+00:00,274.9872131,356,362,349,352,2423000
2010-02-04 00:00:00+00:00,267.2627869,346,365,343,365,2484000
2010-02-05 00:00:00+00:00,257.9935913,334,342,330,338,2849000
2010-02-08 00:00:00+00:00,256.448761,332,338,329,333,1736000
2010-02-09 00:00:00+00:00,256.448761,332,334,323,324,2678000
2010-02-10 00:00:00+00:00,260.3108826,337,339,334,338,2076000
2010-02-12 00:00:00+00:00,252.5864868,327,338,325,338,2906000
2010-02-15 00:00:00+00:00,246.4070587,319,328,319,328,2151000
2010-02-16 00:00:00+00:00,245.6345978,318,323,317,320,757000
2010-02-17 00:00:00+00:00,255.6762085,331,331,324,325,1910000
2010-02-18 00:00:00+00:00,253.358902,328,336,327,331,1063000
2010-02-19 00:00:00+00:00,251.8141022,326,337,326,331,2053000
2010-02-22 00:00:00+00:00,266.4903564,345,352,338,341,4116000
2010-02-23 00:00:00+00:00,263.4005737,341,343,337,338,1359000
2010-02-24 00:00:00+00:00,257.9935913,334,336,331,333,2042000
2010-02-25 00:00:00+00:00,254.1314087,329,337,328,334,1373000
2010-02-26 00:00:00+00:00,255.6762085,331,337,329,332,1226000
2010-03-01 00:00:00+00:00,261.083313,338,339,329,336,826000
2010-03-02 00:00:00+00:00,257.9935913,334,340,330,336,1661000
2010-03-03 00:00:00+00:00,261.083313,338,338,331,335,1274000
2010-03-04 00:00:00+00:00,254.9038391,330,335,330,333,1259000
2010-03-05 00:00:00+00:00,266.4903564,345,346,336,337,1895000
2010-03-08 00:00:00+00:00,274.9872131,356,359,353,353,3419000
2010-03-09 00:00:00+00:00,269.5801086,349,354,349,352,1084000
2010-03-10 00:00:00+00:00,276.5319519,358,359,348,348,1589000
2010-03-11 00:00:00+00:00,278.0768433,360,362,356,357,1601000
2010-03-12 00:00:00+00:00,288.1185608,373,376,366,366,6820000
2010-03-15 00:00:00+00:00,292.7531433,379,383,373,378,2348000
2010-03-16 00:00:00+00:00,289.6634521,375,382,374,375,1589000
2010-03-17 00:00:00+00:00,299.7051086,388,393,378,379,3423000
2010-03-18 00:00:00+00:00,295.0705261,382,392,382,389,2410000
2010-03-19 00:00:00+00:00,298.1602478,386,390,385,389,1800000
2010-03-23 00:00:00+00:00,299.7051086,388,389,380,380,1179000
2010-03-24 00:00:00+00:00,304.3397217,394,401,392,394,3930000
2010-03-25 00:00:00+00:00,302.7948608,392,396,390,392,3473000
2010-03-26 00:00:00+00:00,304.3397217,394,395,386,395,2891000
2010-03-29 00:00:00+00:00,304.9604492,393,394,384,387,2274000
2010-03-30 00:00:00+00:00,311.9442749,402,403,391,393,2124000
2010-03-31 00:00:00+00:00,306.5124512,395,402,392,401,2414000
2010-04-01 00:00:00+00:00,305.7364502,394,396,389,394,4012000
2010-04-02 00:00:00+00:00,304.1844788,392,396,391,394,1916000
2010-04-05 00:00:00+00:00,311.1683044,401,404,396,397,2351000
2010-04-06 00:00:00+00:00,305.7364502,394,401,391,400,2469000
2010-04-07 00:00:00+00:00,308.0644226,397,401,391,395,3568000
2010-04-08 00:00:00+00:00,302.6325378,390,400,387,400,4280000
2010-04-09 00:00:00+00:00,301.080658,388,394,384,388,7723000
2010-04-12 00:00:00+00:00,304.9604492,393,396,393,395,1186000
2010-04-13 00:00:00+00:00,304.9604492,393,395,387,394,1606000
2010-04-14 00:00:00+00:00,300.3045959,387,394,386,393,2259000
2010-04-15 00:00:00+00:00,315.8242493,407,410,390,395,4681000
2010-04-16 00:00:00+00:00,327.4639282,422,431,414,414,9859000
2010-04-19 00:00:00+00:00,313.4963074,404,413,404,412,3322000
2010-04-20 00:00:00+00:00,310.3922729,400,416,397,409,4471000
2010-04-21 00:00:00+00:00,329.7918396,425,427,410,413,5134000
2010-04-22 00:00:00+00:00,325.1360168,419,431,417,424,4689000
2010-04-23 00:00:00+00:00,320.4801331,413,425,412,417,3852000
2010-04-26 00:00:00+00:00,340.6556091,439,440,420,421,5189000
2010-04-27 00:00:00+00:00,356.9511719,460,464,433,450,8420000
2010-04-28 00:00:00+00:00,350.7433777,452,462,446,451,6457000
2010-04-30 00:00:00+00:00,371.6948242,479,484,472,484,5677000
2010-05-06 00:00:00+00:00,356.9511719,460,472,458,471,3758000
2010-05-07 00:00:00+00:00,349.1913452,450,457,435,436,4108000
2010-05-10 00:00:00+00:00,356.9511719,460,461,435,436,3768000
2010-05-11 00:00:00+00:00,358.5031738,462,479,461,474,3866000
2010-05-12 00:00:00+00:00,378.6787109,488,491,469,470,8614000
2010-05-13 00:00:00+00:00,401.1820679,517,522,495,496,6895000
2010-05-14 00:00:00+00:00,399.6301575,515,523,498,513,5454000
2010-05-17 00:00:00+00:00,374.7987366,483,506,475,505,12166000
2010-05-18 00:00:00+00:00,362.3830566,467,494,462,492,8914000
2010-05-19 00:00:00+00:00,374.0227661,482,487,457,460,9465000
2010-05-20 00:00:00+00:00,366.2630005,472,489,466,479,5735000
2010-05-21 00:00:00+00:00,353.84729,456,464,450,464,5836000
2010-05-24 00:00:00+00:00,358.5031738,462,465,445,464,4020000
2010-05-25 00:00:00+00:00,336.7757263,434,457,427,453,5519000
2010-05-26 00:00:00+00:00,334.4476929,431,443,419,437,6353000
2010-05-27 00:00:00+00:00,347.6394348,448,450,418,423,5459000
2010-05-28 00:00:00+00:00,353.0712585,455,464,445,456,5060000
2010-05-31 00:00:00+00:00,356.9511719,460,467,450,450,3981000
2010-06-01 00:00:00+00:00,350.7433777,452,463,451,461,2048000
2010-06-02 00:00:00+00:00,341.4316101,440,453,435,444,4431000
2010-06-03 00:00:00+00:00,361.6070557,466,466,447,448,5559000
2010-06-04 00:00:00+00:00,363.1590576,468,477,466,467,3264000
2010-06-07 00:00:00+00:00,349.9673157,451,460,447,460,4305000
2010-06-08 00:00:00+00:00,355.3992615,458,459,441,442,3769000
2010-06-09 00:00:00+00:00,341.4316101,440,454,435,453,5688000
2010-06-10 00:00:00+00:00,364.7110291,470,472,444,447,7946000
2010-06-11 00:00:00+00:00,369.3668823,476,479,471,476,6981000
2010-06-14 00:00:00+00:00,382.5585327,493,494,480,482,2853000
2010-06-15 00:00:00+00:00,381.7825928,492,497,483,489,3607000
2010-06-16 00:00:00+00:00,388.7663879,501,509,500,500,3148000
2010-06-17 00:00:00+00:00,377.90271,487,500,483,500,3833000
