Date,Adj Close,Close,High,Low,Open,Volume
Ticker,7261.T,7261.T,7261.T,7261.T,7261.T,7261.T
2010-01-04 00:00:00+00:00,833.3832397,1075,1080,1065,1075,2450800
2010-01-05 00:00:00+00:00,829.507019,1070,1080,1065,1080,2903000
2010-01-06 00:00:00+00:00,829.507019,1070,1080,1060,1070,3523800
2010-01-07 00:00:00+00:00,833.3832397,1075,1080,1070,1080,3192000
2010-01-08 00:00:00+00:00,895.4024658,1155,1175,1075,1080,20623200
2010-01-12 00:00:00+00:00,918.6595459,1185,1200,1125,1130,15159400
2010-01-13 00:00:00+00:00,934.1644897,1205,1225,1145,1150,13449800
2010-01-14 00:00:00+00:00,972.9263916,1255,1265,1225,1225,11580600
2010-01-15 00:00:00+00:00,961.2978516,1240,1260,1230,1260,4541600
2010-01-18 00:00:00+00:00,953.5454102,1230,1245,1195,1225,5556400
2010-01-19 00:00:00+00:00,934.1644897,1205,1260,1195,1245,5199600
2010-01-20 00:00:00+00:00,930.288147,1200,1240,1190,1235,4516400
2010-01-21 00:00:00+00:00,961.2978516,1240,1245,1175,1185,5664600
2010-01-22 00:00:00+00:00,934.1644897,1205,1240,1190,1220,7041800
2010-01-25 00:00:00+00:00,941.916626,1215,1225,1175,1180,3779600
2010-01-26 00:00:00+00:00,914.7836914,1180,1235,1180,1215,4962000
2010-01-27 00:00:00+00:00,879.8977051,1135,1190,1130,1180,5269400
2010-01-28 00:00:00+00:00,907.0309448,1170,1185,1160,1170,5796800
2010-01-29 00:00:00+00:00,949.6693115,1225,1245,1160,1165,9797400
2010-02-01 00:00:00+00:00,914.7836914,1180,1240,1145,1230,8675600
2010-02-02 00:00:00+00:00,938.0404663,1210,1225,1195,1210,3094400
2010-02-03 00:00:00+00:00,961.2978516,1240,1260,1210,1215,6099000
2010-02-04 00:00:00+00:00,949.6693115,1225,1275,1205,1270,4878400
2010-02-05 00:00:00+00:00,903.1547852,1165,1190,1160,1175,5949000
2010-02-08 00:00:00+00:00,879.8977051,1135,1180,1130,1175,4214000
2010-02-09 00:00:00+00:00,860.5166626,1110,1135,1090,1110,5684200
2010-02-10 00:00:00+00:00,876.0214233,1130,1160,1120,1125,4159600
2010-02-12 00:00:00+00:00,879.8977051,1135,1155,1130,1155,3464600
2010-02-15 00:00:00+00:00,856.6403809,1105,1135,1095,1135,2412200
2010-02-16 00:00:00+00:00,833.3832397,1075,1135,1070,1135,3670000
2010-02-17 00:00:00+00:00,856.6403809,1105,1115,1095,1105,4681000
2010-02-18 00:00:00+00:00,876.0214233,1130,1145,1110,1115,3917200
2010-02-19 00:00:00+00:00,864.3929443,1115,1160,1115,1150,3808000
2010-02-22 00:00:00+00:00,891.5261841,1150,1160,1140,1155,1779400
2010-02-23 00:00:00+00:00,883.7738647,1140,1140,1125,1135,1845800
2010-02-24 00:00:00+00:00,876.0214233,1130,1155,1125,1130,3827800
2010-02-25 00:00:00+00:00,872.1453247,1125,1180,1115,1165,7761000
2010-02-26 00:00:00+00:00,907.0309448,1170,1185,1130,1130,5565200
