Date,Adj Close,Close,High,Low,Open,Volume
Ticker,7269.T,7269.T,7269.T,7269.T,7269.T,7269.T
2010-01-04 00:00:00+00:00,470.1542969,575.25,579.5,567.5,568,2894000
2010-01-05 00:00:00+00:00,461.7769775,565,585,561.75,585,7758400
2010-01-06 00:00:00+00:00,465.8634033,570,576.25,563,565,9457200
2010-01-07 00:00:00+00:00,456.6687012,558.75,570,555.25,568,11942800
2010-01-08 00:00:00+00:00,457.6903076,560,567.75,554.5,562.75,11481200
2010-01-12 00:00:00+00:00,458.507782,561,564.75,554.25,560,12316800
2010-01-13 00:00:00+00:00,453.3995056,554.75,559.5,552.5,555,6610000
2010-01-14 00:00:00+00:00,457.2818298,559.5,562.5,550,554.75,10291200
2010-01-15 00:00:00+00:00,450.7432861,551.5,561.25,548,554,14064400
2010-01-18 00:00:00+00:00,452.5823364,553.75,554.5,548.75,551.5,10157200
2010-01-19 00:00:00+00:00,450.1303406,550.75,552.25,547,550.5,5843600
2010-01-20 00:00:00+00:00,446.4524536,546.25,553.25,545.25,549.5,7258800
2010-01-21 00:00:00+00:00,447.8827515,548,553.5,539,542.5,12008000
2010-01-22 00:00:00+00:00,440.7313232,539.25,544.5,534.5,543.75,14271600
2010-01-25 00:00:00+00:00,435.4188843,532.75,538.75,531.25,538.75,8261600
2010-01-26 00:00:00+00:00,435.6231689,533,545,528.5,536.25,10254400
2010-01-27 00:00:00+00:00,431.1280212,527.5,544.75,525,530.75,14638400
2010-01-28 00:00:00+00:00,425.8155212,521,530,520,526,11786800
2010-01-29 00:00:00+00:00,419.0727234,512.75,524.25,509.5,523.25,11629600
2010-02-01 00:00:00+00:00,419.8900452,513.75,517.25,506,514.5,9983200
2010-02-02 00:00:00+00:00,429.4933777,525.5,528.25,510.75,514.5,10152800
2010-02-03 00:00:00+00:00,430.7194214,527,534,525,532.5,7486000
2010-02-04 00:00:00+00:00,423.976593,518.75,532.25,512.25,528.75,9511200
2010-02-05 00:00:00+00:00,414.9862976,507.75,511.25,500,501.25,13380000
2010-02-08 00:00:00+00:00,407.6305237,498.75,501.25,495.5,500,11170400
2010-02-09 00:00:00+00:00,410.2867737,502,504.5,492,495.25,9331200
2010-02-10 00:00:00+00:00,404.9742432,495.5,504.25,492.5,502.25,10109200
2010-02-12 00:00:00+00:00,407.426178,498.5,503,493,503,8779200
2010-02-15 00:00:00+00:00,403.1353149,493.25,501.5,491.75,501,5066000
2010-02-16 00:00:00+00:00,399.6617737,489,493.25,484.5,487.75,8195200
2010-02-17 00:00:00+00:00,406.4044495,497.25,498,491.25,493.5,7964000
2010-02-18 00:00:00+00:00,405.5872498,496.25,499.25,493.25,497.5,7699600
2010-02-19 00:00:00+00:00,395.3709717,483.75,497.75,483,496.75,9784000
2010-02-22 00:00:00+00:00,404.769928,495.25,495.75,489.25,489.25,6351200
